Frame,Timestamp,Student ID,Emotion,Focus,Focus % (overall),Total Students
4920,15:24:42,1,happy,Distracted,0.0,1
4930,15:24:42,1,sad,Distracted,0.0,2
4930,15:24:42,2,happy,Distracted,0.0,2
4940,15:24:42,1,sad,Distracted,0.0,2
4940,15:24:42,2,happy,Distracted,0.0,2
4950,15:24:42,1,sad,Distracted,0.0,2
4950,15:24:42,2,happy,Distracted,0.0,2
4960,15:24:43,1,happy,Distracted,0.0,1
4970,15:24:43,1,happy,Distracted,0.0,1
4980,15:24:43,1,happy,Distracted,0.0,1
4990,15:24:43,1,surprise,Focused,100.0,1
5000,15:24:43,1,sad,Distracted,0.0,1
5010,15:24:43,1,surprise,Focused,100.0,1
5020,15:24:43,1,happy,Distracted,0.0,1
5030,15:24:43,1,neutral,Distracted,0.0,3
5030,15:24:43,2,happy,Distracted,0.0,3
5030,15:24:43,3,sad,Distracted,0.0,3
5040,15:24:44,1,sad,Distracted,0.0,2
