Frame,Timestamp,Total Students,Focused Students,Focus %,Face 1 Emotion,Face 1 Focus,Face 2 Emotion,Face 2 Focus,Face 3 Emotion,Face 3 Focus
3030,13:23:53,2,0,0.0,sad,Distracted,fear,Distracted,,
3040,13:23:53,1,0,0.0,fear,Distracted,,,,
3050,13:23:53,1,0,0.0,sad,Distracted,,,,
3060,13:23:53,1,0,0.0,sad,Distracted,,,,
3070,13:23:54,1,1,100.0,fear,Focused,,,,
3080,13:23:54,1,0,0.0,sad,Distracted,,,,
3090,13:23:54,1,0,0.0,sad,Distracted,,,,
3100,13:23:54,1,0,0.0,neutral,Distracted,,,,
3110,13:23:54,1,0,0.0,sad,Distracted,,,,
3120,13:23:54,1,1,100.0,fear,Focused,,,,
3130,13:23:54,1,1,100.0,fear,Focused,,,,
3140,13:23:54,1,1,100.0,fear,Focused,,,,
3150,13:23:54,1,1,100.0,fear,Focused,,,,
3160,13:23:55,1,1,100.0,fear,Focused,,,,
3170,13:23:55,1,0,0.0,neutral,Distracted,,,,
3180,13:23:55,1,0,0.0,neutral,Distracted,,,,
3190,13:23:55,1,1,100.0,fear,Focused,,,,
3200,13:23:55,1,1,100.0,fear,Focused,,,,
3210,13:23:55,1,1,100.0,fear,Focused,,,,
3220,13:23:55,1,1,100.0,fear,Focused,,,,
3230,13:23:55,1,1,100.0,fear,Focused,,,,
3240,13:23:55,1,1,100.0,fear,Focused,,,,
3250,13:23:56,1,1,100.0,fear,Focused,,,,
3260,13:23:56,1,0,0.0,happy,Distracted,,,,
3270,13:23:56,1,1,100.0,fear,Focused,,,,
3280,13:23:56,1,1,100.0,fear,Focused,,,,
3290,13:23:56,1,1,100.0,fear,Focused,,,,
3300,13:23:56,1,1,100.0,fear,Focused,,,,
3310,13:23:56,1,1,100.0,fear,Focused,,,,
3320,13:23:56,1,1,100.0,fear,Focused,,,,
3330,13:23:56,1,1,100.0,fear,Focused,,,,
3340,13:23:56,1,0,0.0,neutral,Distracted,,,,
3350,13:23:57,1,1,100.0,fear,Focused,,,,
3360,13:23:57,1,1,100.0,fear,Focused,,,,
3370,13:23:57,1,1,100.0,fear,Focused,,,,
3380,13:23:57,1,1,100.0,fear,Focused,,,,
3390,13:23:57,1,1,100.0,fear,Focused,,,,
3400,13:23:57,1,1,100.0,fear,Focused,,,,
3410,13:23:57,1,1,100.0,fear,Focused,,,,
3420,13:23:58,1,1,100.0,fear,Focused,,,,
3430,13:23:58,1,1,100.0,fear,Focused,,,,
3440,13:23:58,1,1,100.0,fear,Focused,,,,
3450,13:23:58,1,1,100.0,fear,Focused,,,,
